877 1565
376 312 0.391
312 318 0.795
318 853 0.773
853 398 0.511
398 553 0.074
553 689 0.336
689 349 0.366
349 16 0.099
16 695 0.204
695 48 2.963
48 504 0.147
144 767 0.465
767 297 0.452
297 347 0.385
347 547 0.533
547 302 1.237
302 646 0.673
646 51 0.439
51 709 0.464
709 611 0.464
611 465 0.852
465 177 0.406
177 429 0.367
429 52 0.489
52 747 0.433
747 32 0.701
32 274 0.653
274 823 0.452
823 130 0.544
130 663 0.730
663 237 0.403
237 89 0.637
89 717 0.523
717 855 0.420
855 270 0.944
270 214 0.589
214 590 0.442
605 747 0.166
747 32 0.701
32 274 0.653
274 490 1.385
490 457 0.355
457 781 0.488
781 653 0.406
653 103 0.209
103 420 0.283
420 23 0.134
23 3 0.929
3 2 0.123
2 538 0.013
538 399 0.044
399 19 0.243
19 291 0.582
291 210 0.054
210 340 0.363
340 633 0.072
633 102 1.023
102 455 0.226
455 18 0.997
18 741 1.153
741 368 0.678
368 827 0.350
827 403 0.964
403 739 0.426
739 141 1.082
141 599 0.424
599 557 0.869
557 184 0.324
798 404 1.916
404 115 0.138
115 846 0.746
846 194 1.442
194 728 1.119
728 102 0.823
102 633 1.023
633 340 0.072
340 288 0.497
288 526 0.067
526 584 0.195
584 157 0.541
157 362 0.803
362 172 0.645
172 833 0.608
833 126 0.236
126 521 0.583
785 813 2.348
813 791 0.317
791 703 0.982
703 712 0.334
712 290 0.711
290 474 0.460
474 311 0.740
311 631 0.666
631 142 0.319
142 158 0.829
158 198 0.326
198 617 1.143
617 152 0.371
152 45 0.370
45 356 0.359
356 542 0.309
542 807 0.306
807 191 0.404
191 849 0.314
849 600 0.392
600 499 0.516
499 736 0.398
736 717 0.302
717 688 0.350
688 855 0.329
855 731 0.325
731 1 0.656
1 24 0.300
24 513 0.413
513 852 0.569
852 633 0.351
633 573 0.311
573 544 0.326
544 685 0.540
685 575 0.260
579 705 0.583
705 850 0.355
850 361 0.803
361 865 0.019
865 603 0.087
603 775 0.369
775 763 0.397
763 122 0.427
122 281 0.062
281 467 0.237
467 593 0.680
593 479 0.426
479 754 0.839
754 706 0.775
706 743 0.146
743 761 0.215
761 492 0.692
492 134 0.494
134 721 0.055
721 396 0.618
396 429 0.770
429 76 0.469
76 776 0.256
776 389 0.860
389 28 0.485
28 64 0.458
64 550 0.269
550 81 0.035
81 67 0.217
67 660 0.559
660 302 0.362
605 747 0.166
747 358 0.069
358 32 0.690
32 58 2.611
58 6 0.414
6 804 0.397
804 447 0.469
447 841 0.456
841 27 0.593
27 558 0.315
558 604 0.678
604 844 0.883
844 724 0.215
724 501 0.754
501 154 0.988
154 159 0.661
159 614 1.609
614 388 1.319
388 451 1.691
451 811 1.782
811 851 5.376
851 49 6.768
521 110 0.667
110 323 0.731
323 735 0.631
735 619 0.484
619 4 0.640
4 360 0.022
360 592 0.428
592 245 0.340
245 171 0.907
171 666 0.902
666 820 0.296
820 385 0.205
385 354 0.998
354 512 0.427
512 434 0.360
434 161 0.365
161 317 0.061
317 375 0.132
375 722 1.251
722 101 0.346
101 371 0.809
371 644 0.464
605 32 0.856
32 289 0.958
289 845 2.480
845 108 1.136
108 29 1.098
29 792 1.084
792 326 0.783
326 713 0.883
713 193 0.856
193 659 0.805
659 702 0.760
702 750 0.352
473 198 0.292
198 382 0.313
382 825 0.554
825 803 0.276
803 94 0.174
94 209 0.190
209 700 0.522
700 392 0.131
392 17 0.152
17 778 0.592
778 552 1.455
552 96 0.057
96 179 0.185
179 188 0.459
188 559 0.831
559 665 0.045
665 632 0.292
632 170 1.033
170 139 0.591
139 588 1.505
5 876 1.358
876 875 0.037
575 47 0.033
47 342 0.237
342 373 0.528
373 210 0.329
210 19 0.626
19 399 0.243
399 538 0.044
538 2 0.013
2 23 1.048
23 166 0.586
166 497 0.877
497 265 0.616
265 41 0.492
41 830 1.977
830 507 0.596
507 591 0.051
591 382 0.202
382 825 0.554
825 803 0.276
803 94 0.174
94 209 0.190
209 477 0.694
477 376 0.281
376 725 0.402
725 233 0.667
233 528 0.628
528 712 0.763
712 282 0.068
282 703 0.271
703 188 1.024
188 661 0.074
175 199 0.386
199 230 0.426
230 589 0.490
589 72 0.517
72 828 1.006
828 559 0.307
559 332 0.956
332 86 0.349
86 737 0.310
737 204 0.440
204 838 0.791
838 133 0.398
133 137 0.369
137 158 0.605
158 198 0.326
198 617 1.143
617 754 0.794
754 638 0.601
638 696 0.312
696 191 0.462
191 790 0.440
790 256 0.529
256 268 0.643
268 345 0.599
345 440 0.494
440 162 0.338
162 44 0.906
44 350 0.343
350 616 0.382
616 181 0.186
675 615 0.537
615 561 1.594
561 208 1.342
208 699 1.667
699 12 0.740
12 606 1.020
606 656 0.939
656 812 1.138
812 298 0.761
298 628 0.263
628 470 0.451
470 187 1.485
187 159 0.324
159 154 0.661
154 501 0.988
501 247 0.220
247 844 0.767
844 30 0.764
30 558 0.855
558 27 0.315
27 57 0.354
57 447 0.854
447 672 0.322
672 58 0.786
58 804 0.616
804 32 2.815
32 605 0.856
479 617 0.419
617 754 0.794
754 300 0.371
300 638 0.731
638 511 0.383
511 534 0.269
534 698 0.244
698 505 0.340
505 834 0.372
834 701 0.500
701 289 0.633
289 262 0.327
262 486 0.308
486 541 0.284
541 424 0.721
424 653 0.598
653 163 0.252
163 23 0.328
23 20 0.266
20 56 0.322
56 277 0.382
277 626 0.373
626 381 0.348
381 75 0.292
75 485 0.445
485 303 0.585
303 449 0.517
449 385 0.308
385 211 0.305
211 476 0.283
476 806 0.958
806 452 0.425
452 354 0.251
354 512 0.427
512 434 0.360
434 161 0.365
161 770 0.260
770 839 0.470
839 484 0.360
484 603 0.293
603 251 0.561
251 406 0.287
406 591 0.506
591 198 0.376
198 473 0.292
473 479 0.880
256 268 0.643
268 345 0.599
345 440 0.494
440 44 1.243
44 616 0.719
616 368 0.724
368 403 1.005
403 34 0.968
34 847 1.082
847 248 0.726
248 380 0.838
380 413 2.611
798 105 0.078
105 390 1.577
390 404 0.286
404 115 0.138
115 189 0.177
189 846 0.573
846 760 0.086
760 765 0.980
765 437 0.476
437 124 0.067
124 605 4.539
605 358 0.167
358 169 4.095
169 747 4.035
747 809 3.626
809 32 3.465
32 92 0.049
92 156 3.137
156 41 0.269
41 682 2.503
682 253 0.123
253 681 2.276
681 265 0.088
265 505 1.982
505 783 1.790
783 519 1.616
519 269 1.295
269 191 0.484
191 600 0.428
600 790 0.139
790 849 0.302
849 456 0.186
456 866 90.905
866 867 0.199
181 350 0.550
350 275 0.089
275 18 0.256
18 162 0.937
162 80 0.308
80 476 0.707
476 211 0.283
211 820 0.101
820 385 0.205
385 452 0.777
452 437 0.233
437 829 1.125
829 15 0.515
15 594 0.490
594 343 0.267
343 382 0.685
382 825 0.554
825 803 0.276
803 260 0.504
260 204 0.859
204 125 0.704
125 571 0.239
571 877 0.428
877 48 4.209
48 235 0.683
703 239 0.895
239 791 0.087
791 785 2.661
785 504 0.621
504 366 10.423
366 85 0.338
403 34 0.968
34 847 1.082
847 248 0.726
248 42 0.055
42 843 5.118
821 539 0.562
539 836 0.428
836 425 0.471
425 377 0.619
377 196 0.478
196 535 0.386
535 259 0.668
259 527 0.650
527 464 0.359
821 539 0.562
539 836 0.428
836 425 0.471
425 377 0.619
377 196 0.478
196 535 0.386
535 259 0.668
259 527 0.650
527 464 0.359
464 775 0.533
775 580 0.466
580 317 0.329
317 794 0.377
794 587 0.383
587 765 0.423
765 437 0.476
437 169 0.448
169 809 0.420
809 41 0.528
41 681 0.408
681 783 0.333
783 497 0.473
497 89 0.808
89 744 0.475
744 612 0.334
612 663 0.439
663 490 0.332
490 149 0.624
149 749 0.695
749 786 0.316
786 109 0.349
109 182 0.761
182 597 0.437
597 825 2.742
825 94 0.446
94 821 2.421
334 798 1.902
798 837 1.022
837 390 0.618
